fid,FUNCION_PR,SUBCATEGOR,ESTABLECIM,FUNCION_SE,PROGRAMACI,SUCURSAL,SALA,DIRECCION,CALLE,ALTURA,BARRIO,COMUNA,LATITUD,LONGITUD,TELEFONO,MAIL,WEB,FACEBOOK,TWITTER,INSTAGRAM,CAMARA_1,CAMARA_2,REDES,PUNTO_DE_C,OTRAS_REDE,CAPACIDAD_
55,BIBLIOTECA,DGLB-GCBA,BIBLIOTECA BALDOMERO FERNANDEZ  MORENO,,,,,"ARENAL, CONCEPCION 4206","ARENAL, CONCEPCION",4206,CHACARITA,COMUNA 15,-34.591355921392356,-58.450363226731213,4855-7508,BIBLIOTECA_MORENO@BUENOSAIRES.GOB.AR,https://www.buenosaires.gob.ar/cultura/bibliotecas,https://www.facebook.com/bibliotecasba/,,https://www.instagram.com/bibliotecasba/,,,,,,0
56,BIBLIOTECA,,DEPOSITO LEIVA,,,,,LEIVA 4243,LEIVA,4243,CHACARITA,COMUNA 15,-34.592358401752122,-58.450035772948731,,,,,,,,,,,,0
57,ESPACIO ESCENICO,SALA DE TEATRO,EL GALPON DE GUEVARA,"BAR, ESPACIO DE FORMACION",SI,,,GUEVARA 326,GUEVARA,326,CHACARITA,COMUNA 15,-34.587309500000003,-58.449464900000002,4554-4588,GALPONDEGUEVARA@GMAIL.COM,https://www.galpondeguevara.com/,WWW.FACEBOOK.COM/GALPONDEGUEVARA,,https://www.instagram.com/galpondeguevara/,ARTEI,,,,,150
58,ESPACIO DE EXHIBICION,GALERIA DE ARTE,CENTRO NEWBERY GALERIA DE ARTE,,,,,"NEWBERY, JORGE AV. 3599","NEWBERY, JORGE AV.",3599,CHACARITA,COMUNA 15,-34.583705409259693,-58.449260081371669,4553 5723,centralnewbery@gmail.com,http://www.centralnewbery.com.ar/,https://www.facebook.com/central.newbery,,,,,,,,0
59,ESPACIO ESCENICO,SALA DE TEATRO,GARGANTUA,"BAR, ESPACIO DE FORMACION",SI,,,NEWBERY. JORGE AV. 3563,NEWBERY. JORGE AV.,3563,CHACARITA,COMUNA 15,-34.583378099999997,-58.449158400000002,4555-5596,TEATROGARGANTUA@GMAIL.COM,WWW.TEATROGARGANTUA.COM.AR,WWW.FACEBOOK.COM/GARGANTUA.TEATRO/,,https://www.instagram.com/teatrogargan/,,,,,,85
60,CENTRO CULTURAL,,ASOCIACION LA NUBE. INFANCIA Y CULTURA,,,,,NEWBERY. JORGE AV. 3537,NEWBERY. JORGE AV.,3537,CHACARITA,COMUNA 15,-34.583088900000000,-58.449066199999997,4552-4080,LANUBE@LANUBE.ORG.AR,WWW.LANUBE.ORG.AR,,,,,,,,,0
61,CENTRO CULTURAL,,LA NUBE INFANCIA Y CULTURA,"ESPACIO ESCENICO, ESPACIO DE FORMACION, LIBRERIA",SI,,,NEWBERY. JORGE AV. 3537,NEWBERY. JORGE AV.,3537,CHACARITA,COMUNA 15,-34.583088900000000,-58.449066199999997,4552-4080,LANUBE.CULTURA@GMAIL.COM,WWW.LANUBECULTURA.WIX.COM/LANUBE,WWW.FACEBOOK.COM/LA-NUBE-INFANCIA-Y-CULTURA-280547943570/,,https://www.instagram.com/la_nube_cultura/,,,,,,0
62,LIBRERIA,,LA NUBE,,,,,"NEWBERY, JORGE AV. 3537","NEWBERY, JORGE AV.",3537,CHACARITA,COMUNA 15,-34.583091699999997,-58.449065200000000,4552-4080,"lanube@lanube.org.ar;lanube.cultura@gmail.com",www.facebook.com/Librería-La-Nube-392152510839396/,,,,,,,,,0
63,CENTRO CULTURAL,,HUNTERBIER DE PEZZANO ROBERTO ARIEL,BAR,,,,NEWBERY. JORGE AV. 3519,NEWBERY. JORGE AV.,3519,CHACARITA,COMUNA 15,-34.582988399999998,-58.449034099999999,4545-9338,ROBERTO1PEZZANO@GMAIL.COM,,,,,,,,,,150
64,LIBRERIA,,FALENA,,,,,CHARLONE 201,CHARLONE,201,CHACARITA,COMUNA 15,-34.584210200000001,-58.448207500000002,,,,,,,,,,,,0
65,ESPACIO ESCENICO,OTROS,CASTORERA,,,,,CORDOBA AV. 6237,CORDOBA AV.,6237,CHACARITA,COMUNA 15,-34.583016200000003,-58.448033899999999,4555-4199,CASTORERA_BAR@YAHOO.COM.AR,WWW.CASTORERA.COM,,,,,,,,,0
66,ESPACIO ESCENICO,SALA DE TEATRO,LA DUMONT SALAS,,,,,DUMONT. SANTOS 3521,DUMONT. SANTOS,3521,CHACARITA,COMUNA 15,-34.583595699999996,-58.447831499999999,4554-0421 / 35267141,SALASLADOUMONT@GMAIL.COM,,https://www.facebook.com/La-Dumont-Salas-223335081061397/,,,,,,,,0
67,ESPACIO ESCENICO,CLUB DE MUSICA EN VIVO,LIVERPOOL,,,,,Arévalo 1376,AREVALO,1376,CHACARITA,COMUNA 15,-34.583951300000003,-58.446334200000003,5355-7632,LIVERPOOLBARPALERMO@GMAIL.COM,,https://www.facebook.com/LIVERPOOLCLUBPALERMO/,,https://www.instagram.com/liverpoolclubpalermo/,CLUMVI,,,,,146
68,ESPACIO ESCENICO,SALA DE TEATRO,TEATRO REGIO,,SI,,SALA DE ENSAYOS DEL PISO 11,CORDOBA AV. 6056,CORDOBA AV.,6056,CHACARITA,COMUNA 15,-34.584181200000003,-58.445789300000001,4772-3350,,WWW.COMPLEJOTEATRAL.GOB.AR/TEATRO-REGIO,,,,,,,,,661
69,ESPACIO DE EXHIBICION,GALERIA DE ARTE,PERRO VERDE ESPACIO DE ARTE,,,,,DORREGO AV. 1226,DORREGO AV.,1226,CHACARITA,COMUNA 15,-34.587393150016695,-58.445628555884248,,,,,,,,,,,,0
70,ESPACIO ESCENICO,SALA DE TEATRO,TEATRO REGGIO,ESPACIO DE FORMACION,SI,,,CORDOBA AV. 6046,CORDOBA AV.,6046,CHACARITA,COMUNA 15,-34.584256077154684,-58.445620602436378,,,,,,,,,,,,661
71,MONUMENTOS Y LUGARES HISTORICOS,,CINE TEATRO REGIO,,,,,CORDOBA AV. 6066,CORDOBA AV.,6066,CHACARITA,COMUNA 15,-34.584170000000000,-58.445830000000001,,,,,,,,,,,,0
72,ESPACIO DE EXHIBICION,GALERIA DE ARTE,LUZ VIDAL,,,,,GAVILAN 2695,GAVILAN,2695,PATERNAL,COMUNA 15,-34.600899951526422,-58.477377290683691,,,,,,,,,,,,0
73,LIBRERIA,,CONRADO LIBROS,,,,,CHORROARIN 13,CHORROARIN,13,PATERNAL,COMUNA 15,-34.599327862547341,-58.478637775499465,4504-5520// 4502-4351,conradolibros@hotmail.com,https://www.facebook.com/conradolibros11/,Lunes a Viernes de 9:00 a 18:30. Sabados de 10:00a 13:00.,,,,,,,,0
74,BAR,CULTURAL,YATASTO,,,,,SAN MARTIN AV. 3201,SAN MARTIN AV.,3201,PATERNAL,COMUNA 15,-34.601725500000001,-58.469034000000001,,,,,,,,,,,,0
75,LIBRERIA,,LIBRERIA DEL SOL,,,,,ESPINOSA 2393,ESPINOSA,2393,PATERNAL,COMUNA 15,-34.601439300000003,-58.465187999999998,,,,,,,,,,,,0
76,ESPACIO DE EXHIBICION,GALERIA DE ARTE,CROMATICA ARTE,ESPACIO DE FORMACION,,,,CUCHA CUCHA 2476,CUCHA CUCHA,2476,PATERNAL,COMUNA 15,-34.600640594743133,-58.463138358980508,45821350,CROMATICOARTE@GMAIL.COM,WWW.CROMATICAARTE.WIX.COM/CROMATICOARTE,https://www.facebook.com/cromaticoarte/,,,,,,,,0
77,CENTRO CULTURAL,,LA PATERNAL ESPACIO PROYECTO,,,,,Espinosa 2672,ESPINOSA,2672,PATERNAL,COMUNA 15,-34.600605115420592,-58.469462841022512,,,http://www.lapaternal.org/,https://www.facebook.com/LaPaternalEspacioProyecto/,,,,,,,,0
78,ESPACIO DE EXHIBICION,GALERIA DE ARTE,LA PATERNAL ESPACIO PROYECTO,,,,,ESPINOSA 2672,ESPINOSA,2672,PATERNAL,COMUNA 15,-34.600605115420592,-58.469462841022512,,info@lapaternal.org,http://www.lapaternal.org/,,,,,,,,,0
79,ESPACIO DE FORMACION,,NAVE AGORA ESPACIO-LABORATORIO CULTURAL DE INNOVACION CIUDADANA Y COMUNITARIA,,,,,CUCHA CUCHA 2680,CUCHA CUCHA,2680,PATERNAL,COMUNA 15,-34.600099416035263,-58.465698777016890,15-5890-3920,CONTACTO@NAVEAGORA.ORG,WWW.NAVEAGORA.ORG,https://www.facebook.com/naveagora/,@NaveAgora,www.instagram.com/naveagora,,,,,,80
80,ESPACIO DE EXHIBICION,GALERIA DE ARTE,CASA VIÑETAS SUELTAS,,,,,"DICKMAN, ADOLFO, DR. 1260","DICKMAN, ADOLFO, DR.",1260,PATERNAL,COMUNA 15,-34.600079421951961,-58.463406280396654,,INFO@VINETAS-SUELTAS.COM.AR,https://vinetas-sueltas.com.ar/,https://www.facebook.com/vinetas.sueltas/,,https://www.instagram.com/vinetassueltas/,,,,,,0
81,CENTRO CULTURAL,,GALPON CULTURAL EL HUECO,,,,,Maturín 2439,MATURÍN,2439,PATERNAL,COMUNA 15,-34.599923011640179,-58.460915200077658,,,http://www.elhueco.com.ar/,https://www.facebook.com/el.hueco.90/,,,,,,,,0
82,ESPACIO ESCENICO,SALA DE TEATRO,EL UNICORNIO CASA DE ARTISTA,"ESPACIO DE EXHIBICION, ESPACIO DE FORMACION",,,,CUCHA CUCHA 2708,CUCHA CUCHA,2708,PATERNAL,COMUNA 15,-34.599848154423448,-58.466864772857086,4582-0903,ELUNICORNIOARTE@GMAIL.COM,WWW.ELUNICORNIOARTE.COM.AR,WWW.FACEBOOK.COM/ELUNICORNIOARTE/,@ESTUDIATEATRO,https://www.instagram.com/elunicornioarte/,,,,,,0
83,BIBLIOTECA,POPULAR,BIBLIOTECA POPULAR JUAN MARIA BECCIU,,,,,"GRANADA, NICOLAS 1660","GRANADA, NICOLAS",1660,PATERNAL,COMUNA 15,-34.602885616976671,-58.462165650120149,,BIBLIOTECABECCIU@YAHOO.COM.AR,,,,,CONABIP,,,,,0
84,CENTRO CULTURAL,,MULTIESPACIO LA COMUNIDAD DEL SOTANO / COMUNIDAD MULTIESPACIO,"ESPACIO ESCENICO, ESPACIO DE FORMACION",SI,,,OROÑO. NICASIO 2480,OROÑO. NICASIO,2480,PATERNAL,COMUNA 15,-34.598289899999997,-58.459813699999998,2462-3322,INFO@LACOMUNIDADDELSOTANO.COM.AR,www.comunidaddelsotano.com.ar,WWW.FACEBOOK.COM/COMUNIDADDELSOTANO/,,www.instagram.com/comunidadmultiespacio,MECA,,,,,136
85,ESPACIO DE EXHIBICION,GALERIA DE ARTE,MICROTALLER HOGAREÑO,,,,,BALBOA 416,BALBOA,416,PATERNAL,COMUNA 15,-34.591498750116322,-58.467097274807927,4361-8252,,,https://www.facebook.com/galeriabuenosairessur,,https://www.instagram.com/p/B5ePLNXgfVG/,,,,,,0
86,ESPACIO ESCENICO,SALA DE TEATRO,GRUPO MATEMURGA DE VILLA CRESPO,ESPACIO DE FORMACION,,,,VIALE. LUIS 654,VIALE. LUIS,654,VILLA CRESPO,COMUNA 15,-34.605646330531783,-58.449285413546825,,MATEMURGA@YAHOO.COM.AR,WWW.MATEMURGA.COM.AR,,,,,,Red Nacional de Teatro Comunitario,SI,,0
87,ESPACIO ESCENICO,SALA DE TEATRO,PATERNAL TEATRO,ESPACIO DE FORMACION,SI,,,REPETTO. NICOLAS. DR. 1556,REPETTO. NICOLAS. DR.,1556,VILLA CRESPO,COMUNA 15,-34.605274600000001,-58.452171300000003,4584-8703,HECTOR_BIDONDE@YAHOO.COM.AR,,https://www.facebook.com/bidondehector/,,https://www.instagram.com/paternalteatro/,,,,,,100
